
---------- Begin Simulation Statistics ----------
system.cpu_cluster.cpus.statFuBusy::SimdMultAcc            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShift            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShiftAcc            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdDiv            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSqrt            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatAdd            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatAlu            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatCmp            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatCvt            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatDiv            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatMisc            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatMult            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatMultAcc            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatSqrt            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdReduceAdd            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdReduceAlu            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdReduceCmp            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatReduceAdd            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdFloatReduceCmp            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAes            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdAesMix            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSha1Hash            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSha1Hash2            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSha256Hash            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdSha256Hash2            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShaSigma2            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdShaSigma3            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::SimdPredAlu            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::MemRead            6    100.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::MemWrite            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMemRead            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::FloatMemWrite            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::IprAccess            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuBusy::InstPrefetch            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::IntAlu            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::IntMult            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::IntDiv            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatAdd            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatCmp            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatCvt            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMult            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMultAcc            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatDiv            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMisc            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatSqrt            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAdd            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAddAcc            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAlu            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdCmp            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdCvt            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdMisc            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdMult            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdMultAcc            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdShift            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdShiftAcc            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdDiv            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdSqrt            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdFloatAdd            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdFloatAlu            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdFloatCmp            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdFloatCvt            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdFloatDiv            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdFloatMisc            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdFloatMult            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdFloatMultAcc            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdFloatSqrt            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdReduceAdd            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdReduceAlu            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdReduceCmp            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdFloatReduceAdd            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdFloatReduceCmp            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAes            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdAesMix            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdSha1Hash            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdSha1Hash2            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdSha256Hash            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdSha256Hash2            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdShaSigma2            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdShaSigma3            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::SimdPredAlu            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::MemRead           15     65.22%     65.22% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::MemWrite            8     34.78%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMemRead            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::FloatMemWrite            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::IprAccess            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statFuNoFree::InstPrefetch            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::No_OpClass            0      0.00%      0.00% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::IntAlu     0.105256     28.88%     28.88% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::IntMult     0.025759      7.07%     35.94% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::IntDiv     0.025759      7.07%     43.01% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::FloatAdd     0.000346      0.09%     43.11% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::FloatCmp     0.000346      0.09%     43.20% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::FloatCvt     0.000346      0.09%     43.30% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::FloatMult     0.000346      0.09%     43.39% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::FloatMultAcc     0.000346      0.09%     43.49% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::FloatDiv     0.000173      0.05%     43.53% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::FloatMisc     0.000346      0.09%     43.63% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::FloatSqrt     0.000173      0.05%     43.67% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdAdd     0.000346      0.09%     43.77% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdAddAcc     0.000173      0.05%     43.82% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdAlu     0.000346      0.09%     43.91% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdCmp     0.000346      0.09%     44.01% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdCvt     0.000269      0.07%     44.08% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdMisc     0.000346      0.09%     44.18% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdMult     0.000346      0.09%     44.27% # Avg utilization of FU (Count)
system.cpu_cluster.cpus.statAvgFUUtilization::SimdMultAcc     0.000173      0.05%     44.32% # Avg utilization of FU (Count)
